12.777411889568944538111558308244	10.
12.464207189755990858546958462639	9.75
12.148947778774492689424867180517	9.5
11.831496022332954024818280464125	9.25
11.511700017058590844896063248124	9.
11.189391552190518887269975195835	8.75
10.86438369457254216651834678371	8.5
10.536467910339773903770259649089	8.25
10.20541061257107607844245365123	8.
9.8709489920693374291445260928891	7.75
9.5327859452326580715161391381786	7.5
9.1905838541931586505900016455956	7.25
8.8439568934062028868564444226013	7.
8.4924614237746668436757092185791	6.75
8.1355838751417666615027310503803	6.5
7.7727252872702567584792017823232	6.25
7.4031813413929918672945445383636	6.
7.0261162094948422222433808461432	5.75
6.6405277779534925544216508227784	5.5
6.2452005979056461415285346927189	5.25
5.8386409814644300118073707834306	5.
5.4189854639307836478914918994158	4.75
4.9838683724783678241792475686055	4.5
4.5302244738529275758739307133703	4.25
4.0539844330166322411011332830808	4.
3.549584826303503000722373498268	3.75
3.0091385866518841348267085342075	3.5
2.4209382431983661432696034017565	3.25
1.7665242873712177301614449307625	3.
1.0142723867155369864042053628473	2.75
0.10295973428418552691490831250952	2.5
-1.1123966258974559453929986723094	2.25
-3.15447633032214621373360552783	2.
