0	4.3944641265813476e-14	0.	1.8474111129762605e-13	0.	3.2155493553843715e-13	0.	3.2155493553843715e-13	0.
0	0	1.1597080446564684e-14	2.5216018509355287e-12	3.1776437161565096e-14	1.1823431123048067e-11	1.1457157353758233e-13	2.9330322825621076e-11	7.105427357601002e-15
Abs[MetricReconstructRadiative`Private`dhlplp[0]]	2.1334777765716796e-14	0.	5.955433342649105e-14	0.	4.582862941503293e-13	0.	9.094947017729282e-13	0.
Abs[MetricReconstructRadiative`Private`dhmpmp[0]]	4.6914453716769764979987649042361045360350717251778239230155`30.75689991698112*Abs[$Failed]	4.6263709203851e-14	7.281705683715378e-12	5.329070518200751e-15	2.9118037843694986e-11	0.	1.7462298274040222e-10	2.274846706538671e-13
0	2.842170943040401e-14	0.	4.364196055238373e-11	0.	1.4868210386523599e-8	0.	0.00011978299074159293	0.
Abs[MetricReconstructRadiative`Private`dhlmlm[0]]	7.32410687763558e-15	0.	6.355947752093889e-12	0.	1.7409819886069181e-9	0.	0.00029155476388044	0.
0	0	1.1597080446564684e-14	2.5216018509355287e-12	3.1776437161565096e-14	1.1823431123048067e-11	1.1457157353758233e-13	2.9330322825621076e-11	7.105427357601002e-15
Abs[MetricReconstructRadiative`Private`dhmmmm[0]]	4.6914453716769764979987649042361045360350717251778239230155`30.75689991698112*Abs[$Failed]	4.6263709203851e-14	7.281705683715378e-12	5.329070518200751e-15	2.9118037843694986e-11	0.	1.7462298274040222e-10	2.274846706538671e-13
0	1.4555273265561716e-11	2.1380988392804247e-10	5.246487481677133e-9	1.1512508981454191e-7	5.900708000609369e-6	0.002923811734176979	4.6512049186170845	592.8992741932949
0	1.4555273265561716e-11	2.1380988392804247e-10	5.246487481677133e-9	1.1512508981454191e-7	5.900708000609369e-6	0.002923811734176979	4.6512049186170845	592.8992741932949
